input position,input joint,output joint
"(-1.88, -0.48)","(-3.19, 0.44)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.15, 0.48)","(-3.14, 0.5)"
"(-1.68, -0.74)","(-3.11, 0.84)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.09, 0.74)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.18, 0.88)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.16, 0.8)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.2, 0.86)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.13, 0.84)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.19, 0.77)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.17, 0.76)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.06, 0.8)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.06, 0.88)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.1, 0.83)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.18, 0.78)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.16, 0.81)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.09, 0.87)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.08, 0.84)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.18, 0.84)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.23, 0.81)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.15, 0.87)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.09, 0.74)","(-3.14, 0.83)"
"(-1.68, -0.74)","(-3.12, 0.86)","(-3.14, 0.83)"
"(-1.4, -0.92)","(-3.08, 1.26)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.21, 1.19)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.14, 1.12)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.18, 1.25)","(-3.14, 1.16)"
"(-1.4, -0.92)","(-3.07, 1.07)","(-3.14, 1.16)"
